GeneSym,PhosphoLog2FC,n_phosphosites,n_sig_phospho,ProteinLog2FC,ProteinSig
IARS,0.6700973556178589,1,0,0.06808418344786915,False
TRUB1,0.6695317227373145,1,0,0.34882127986983846,False
TPR,0.6675513260846996,9,2,0.12523162621161887,False
EIF2AK3,0.6671667077575076,2,1,-0.44210228666337414,False
PPAN,0.6670244780640973,4,1,0.17562130733703896,False
RAB11FIP1,0.6669130446828714,10,2,-0.2655689551994982,False
MKI67,0.665994463317044,46,10,0.7757214051658394,False
MVD,0.6654174345574013,1,0,0.3728928421380324,False
RPL4,0.6652299848357188,1,0,-0.08295817663159255,False
TBRG4,0.6630634481971711,1,0,0.2201526724326861,False
PDS5B,0.6630099955205411,14,3,0.1630945779544284,False
ZNF697,0.6629422552556683,2,0,-0.023432959777398565,False
TECPR1,0.661934646807179,1,0,-0.04457905210940183,False
HDAC1,0.6600240843929358,6,1,0.08935219092450097,False
PDCL,0.6594545856406242,2,1,0.0048254915504450935,False
NOL3,0.6593280838009647,1,0,-0.38463938302310297,False
MAPRE3,0.6591550983020902,1,0,0.015196264990461117,False
TOP2A,0.6590809559987592,13,2,0.4862224498305032,False
RRAS2,0.6590791414480286,1,0,-0.038674835792491535,False
RANBP9,0.6589044340980467,3,1,-0.19060998873871426,False
AGFG1,0.6583080675180876,3,0,0.1810029286857926,False
SDCCAG3,0.6578765206644572,2,0,0.02101648351430896,False
VIMP,0.6578125366473593,1,0,-0.2750503966050637,False
TBC1D10B,0.6576042525071788,8,2,-0.09380780929824795,False
CDC20,0.6574675073924018,3,0,0.3292136882863197,False
FOXJ3,0.6566394116337797,2,0,0.07181309552296256,False
CENPH,0.656094458997341,2,1,0.03827371268873847,False
UBR5,0.6559575687552723,5,2,0.1703896487594463,False
SLC23A2,0.6559488152069276,3,0,0.19186367613424693,False
SATB2,0.6549861217775147,6,0,0.2740141714474369,False
MIOS,0.6542704055709763,1,0,-0.511464798284166,False
ADSL,0.6541453190766049,1,0,-0.1037988893826487,False
PROSER2,0.6537071745101445,3,0,-0.012306420589546008,False
RBM15B,0.6533896893206479,9,1,-0.13307851957171124,False
HMOX1,0.6523871715965743,2,0,1.1704050587653505,False
RBM34,0.6523189730711803,2,0,0.12169674819355691,False
CEP55,0.6519738907842955,3,0,0.020114802300835066,False
ADAR,0.6514328733404842,4,0,0.05826065729280572,False
CPD,0.6505791602697428,2,0,-0.04052413542942901,False
LARP7,0.6505143656260031,8,1,0.013414262773110863,False
ILF3,0.648397822294509,7,1,0.018400457708153795,False
SMG1,0.6478093437097767,4,2,-0.06921753009841325,False
LSM14B,0.6475631357459312,3,0,0.11961919589647607,False
PACS1,0.6473371862752921,7,0,-0.0054473485509234365,False
SMC4,0.6469975492485656,4,0,0.2964707434661591,False
BAP18,0.646554250555193,5,2,-0.29732614735567253,False
SIPA1,0.646472270461059,6,1,0.04701148842070424,False
PDS5A,0.6461759248190937,4,0,0.11392144643205526,False
PHF10,0.6453268173658948,2,0,-0.057104331805273745,False
RRP8,0.6443914270795835,6,0,-0.02771097021272695,False
PPP1R14B,0.6441033709486312,1,0,0.2994205643658141,False
NUPL1,0.6440077501122126,1,0,0.000481479521113215,False
IFI16,0.6418661062447135,10,3,0.1110464946786891,False
ZKSCAN1,0.6415841569625513,3,0,-0.37373779544077834,False
MPHOSPH6,0.6390736279128717,1,0,-0.18154539699044392,False
HSP90AB2P,0.6364934449156046,1,0,0.08189916479118153,False
RFX5,0.6358324442609652,3,0,0.2488409709662136,False
GEMIN5,0.6355210450883938,5,1,0.05551996089738154,False
TRMT1,0.6354765277383763,1,0,0.09185605756732329,False
RNF126,0.6350453394778057,1,0,0.028861004733371942,False
TCEB3,0.6349250107672262,3,0,0.2384474609461229,False
TAF4,0.6344741649734731,4,1,-0.07139983908057346,False
WDR46,0.6333083899285654,1,0,0.17730548767193355,False
SPECC1L,0.6327463942770374,9,0,0.15559593747928346,False
YAF2,0.6291624071767572,1,0,0.09582128868405348,False
MAGI1,0.6286323709840538,1,0,-0.14773594666068135,False
SLC12A4,0.6280994148149759,2,0,0.2812280912641505,False
PPP3CB,0.627439488929987,1,0,0.05465681016148949,False
DDX1,0.6274204016299585,1,0,-0.06865658107702544,False
PPP1R2,0.6272320591343169,3,1,-0.2497699788318961,False
IGF2BP2,0.6272040209517922,2,0,-0.007048371778751061,False
HELLS,0.626805007433544,3,1,0.8615301434415343,False
TTYH3,0.6265794939815592,3,1,-0.45073113633186423,False
HMHA1,0.6264680261640633,3,0,-0.01484109688979629,False
CDCA5,0.6257988665006676,3,0,-0.058905833718423395,False
BLOC1S3,0.6246004427078855,2,0,-0.003152185568801258,False
PATL1,0.6243465077961469,6,0,0.038075930290236926,False
DHX29,0.6232696049674367,1,0,-0.048619355718820145,False
MRGBP,0.6228675842884996,2,0,-0.08434690764265085,False
KMT2A,0.6227897863775634,21,3,0.14909270590123214,False
CHMP2B,0.6224728383291165,1,0,0.0011838086970215045,False
FOXK2,0.621472139321887,11,0,-0.008529930892244408,False
GAS7,0.6212611880855228,2,1,0.0724596099193171,False
FAM91A1,0.6212063848265537,1,0,-0.2937238320759441,False
SP110,0.6210957900771206,4,1,-0.0031930774381123683,False
HMG20A,0.6203200931327046,1,0,0.13440355161201012,False
SLC33A1,0.6192062032297976,2,0,-0.07183934569221861,False
SLC6A15,0.6182534041275685,8,1,-0.27499825346656337,False
PARP10,0.6179531448354112,1,0,-0.01097940154640753,False
EZH2,0.6168117328016424,3,0,0.07067267221760787,False
POGZ,0.6164405498123997,10,0,0.11734776219627463,False
BUB1B,0.6162308019752167,2,0,0.4076248884424878,False
