,ProteinFoldChange,PValue,AdjPValue,Significant
TTC19,-0.46927640927984626,0.00018058336753020373,0.12702972211189337,False
MCTP2,-0.33177752811811345,0.09722309346830607,0.6403588602544008,False
POLR2M,0.1453195236956688,0.38034629610193993,0.8718690155859481,False
VASN,0.07189502723169028,0.44777637768537526,0.8945796306753772,False
CIAPIN1,0.16297292340163594,0.38187776015449676,0.8718690155859481,False
ZFAND6,0.270539080306861,0.2511067021591895,0.8280879008147418,False
SMYD5,0.08802964948817404,0.2297631789116277,0.8135283499793958,False
PTRHD1,0.11044182221163368,0.648469600329077,0.9558209137948426,False
OTUD7B,-0.32169974394030376,0.07070434526632637,0.592492729542971,False
THOC7,0.21666405111793807,0.028248055485483918,0.4152677321328016,False
NADSYN1,0.016046972243199065,0.9374121497754804,0.9929705792864855,False
ELP2,-0.16938714448339454,0.41338554276082695,0.8770879497439329,False
LAMTOR1,0.2653966565424817,0.10329156990478068,0.6503730453397883,False
DHRS7B,0.32222213056709137,0.009720699440939047,0.2742857673653882,False
TWF2,-0.12891836620196528,0.3584003722635252,0.8676073108938235,False
NCAPH2,0.4548312179520231,0.06052841223775617,0.5588240068148651,False
GRAMD4,0.270938145167424,0.06266677286909234,0.5662521990783712,False
KIAA0930,0.16280197384237738,0.4082372317818301,0.8770879497439329,False
CAPRIN2,0.11137960411259584,0.3124482887533793,0.8599825844982091,False
MRM1,0.02004392656937526,0.9348884740944177,0.9929705792864855,False
SMEK1,0.021409297967291963,0.7689672974317072,0.9747728847731245,False
NAPEPLD,-0.2188579931643062,0.132490495096596,0.6967099500286092,False
RAB12,0.05828524742992158,0.44446288579404813,0.8937143094373057,False
ADNP2,0.010838731707334404,0.8937232133312678,0.9896259744685637,False
SDE2,-0.04976434485966763,0.7768482778129578,0.9757676912534892,False
ACAD10,-0.1268028209229115,0.25051428763254996,0.8280879008147418,False
NIPBL,0.09016465559223263,0.3221781046320461,0.8637689122788939,False
SLC25A25,0.05145963589642122,0.5157063522945743,0.9265888182165767,False
PDE12,0.0878776023468113,0.31128739898091573,0.8599825844982091,False
LIN54,0.03883793674718561,0.6382580548804042,0.9558209137948426,False
ZNF280D,0.0642752883563702,0.4047409934300088,0.8770879497439329,False
NAA16,0.1324182055783787,0.6996952824442885,0.9633810724588848,False
ALKBH2,0.3520639600755473,0.008317364830859063,0.2593505014381997,False
SLC25A24,0.016598103406533227,0.9108408830046969,0.9926857550529777,False
REEP3,0.00723932120331483,0.9544967626538763,0.9943137920657577,False
RETSAT,0.38600794007565753,0.07497389719864203,0.5939240829767172,False
RINT1,0.5574892317087077,0.035236816110866785,0.441004031071694,False
TMEM214,-0.11463289309324054,0.4078364467272437,0.8770879497439329,False
MFSD12,0.51791522557372,0.09276906809808619,0.6323823656898142,False
HIBCH,0.2176563210660838,0.005143652008492376,0.2456911588334829,False
RWDD4,-0.0027130159342867444,0.9740424709714788,0.9961388673740844,False
C3orf17,0.1940190985947403,0.18556684732339607,0.7659741706678392,False
ARMC6,0.02314323676618457,0.7704161192468291,0.9747728847731245,False
TTI2,0.19650753319428915,0.16410974087947394,0.7556229780711164,False
ANKRD54,0.024891101319489906,0.7918162087915774,0.9757676912534892,False
SLC30A6,0.05294909315072971,0.8094952622123673,0.9782742979115049,False
TAPT1,-0.022473072323425214,0.7821962215849498,0.9757676912534892,False
JMJD6,-0.037569044540827434,0.8269602021832954,0.9796427422937294,False
PPP1R18,-0.3712774644206185,0.2582151156167715,0.8291488368233156,False
MZT2A,0.04100539060203445,0.5922034807158784,0.947780458509137,False
PTRF,-0.6123318782327161,0.004523302051249499,0.2425620724982544,False
ZCCHC8,0.43725857986566297,0.00914121989468188,0.267380681919445,False
RPUSD3,-0.17381778391197855,0.3077175199237592,0.858327802648197,False
MIS18BP1,0.1515814666621189,0.17320752020036534,0.7613501152595638,False
MAST2,0.05725105212389536,0.46212714157899837,0.900531604432244,False
DHX57,0.20897371357144934,0.24337180597269104,0.8246004142899965,False
MRPL54,-0.22277735530452958,0.6392234929134342,0.9558209137948426,False
LPCAT3,0.1340011572307347,0.4203037527236786,0.8799102302725008,False
CDC73,0.17062519285335398,0.15073947534488766,0.7377854205205973,False
PMF1,0.11566799019300333,0.2171971075184528,0.7987194806067339,False
MRPL14,0.0729255957989956,0.7688514851405561,0.9747728847731245,False
SLC27A4,-0.10311937745795419,0.36239204851845747,0.8676073108938235,False
CC2D1A,-0.11263734408228743,0.427406273926539,0.8800723730691165,False
TATDN1,0.13057747758135108,0.17261141759558546,0.7613501152595638,False
METTL2A,0.037075361493414505,0.6363832827825662,0.9558209137948426,False
DUS1L,0.07993933448346979,0.26157247184745147,0.8324080144830759,False
TAF2,-0.18823161521446607,0.25077774681848103,0.8280879008147418,False
C8orf82,0.12901783636024788,0.3506210320285801,0.8676073108938235,False
MED27,0.04464861147712895,0.5708277815579818,0.9426811085231039,False
EDC4,-0.00538942166467038,0.9596830798188963,0.9943137920657577,False
CEP85,0.15304882539775377,0.24769277787261063,0.8273351377053714,False
FAHD2B,0.003133272920948116,0.9706919724757441,0.9961388673740844,False
PRPF8,0.05168841020932291,0.43409455481820025,0.8834310868100671,False
