ensp,gene
ENSP00000298139,WRN
ENSP00000298198,PGM2L1
ENSP00000298229,INPPL1
ENSP00000298281,PCF11
ENSP00000298532,SNAPC4
ENSP00000298717,METTL3
ENSP00000298767,WAPL
ENSP00000298875,CPSF2
ENSP00000298912,CLMN
ENSP00000299084,SPRED1
ENSP00000299173,ZFYVE19
ENSP00000299213,LARP6
ENSP00000299300,CCT2
ENSP00000299563,RNF169
ENSP00000299601,LEO1
ENSP00000299638,POLR2M
ENSP00000299853,POLR3E
ENSP00000299886,COG1
ENSP00000300086,TERF2IP
ENSP00000300131,NAB2
ENSP00000300146,PATL1
ENSP00000300181,TSC22D4
ENSP00000300231,MAP1A
ENSP00000300249,MAPRE2
ENSP00000300403,TPX2
ENSP00000300574,CRK
ENSP00000300584,TBC1D2B
ENSP00000300651,MED1
ENSP00000300737,STIM1
ENSP00000300843,MARK4
ENSP00000300935,RAB8A
ENSP00000301015,PIEZO1
ENSP00000301019,CDT1
ENSP00000301067,KMT2D
ENSP00000301180,DIP2B
ENSP00000301280,CHAF1A
ENSP00000301336,RILP
ENSP00000301740,SRRM2
ENSP00000301785,HNRNPUL2
ENSP00000301843,CTTN
ENSP00000301962,USP42
ENSP00000302035,SYVN1
ENSP00000302111,MGMT
ENSP00000302139,SYNPO
ENSP00000302578,LRATD2
ENSP00000302790,XPO6
ENSP00000302886,PA2G4
ENSP00000302955,RRM2
ENSP00000302961,HSPA4
ENSP00000302978,SPRY3
ENSP00000302993,FIP1L1
ENSP00000303015,ZRSR2
ENSP00000303042,AFAP1L2
ENSP00000303077,GOT1L1
ENSP00000303158,CCDC8
ENSP00000303315,JUNB
ENSP00000303398,MTBP
ENSP00000303423,FNTA
ENSP00000303427,PDS5A
ENSP00000303482,REEP4
ENSP00000303507,BCR
ENSP00000303754,PPID
ENSP00000303908,TWF2
ENSP00000303991,UBXN1
ENSP00000304051,RNF139
ENSP00000304072,DDX54
ENSP00000304078,SACK1B
ENSP00000304108,FAM171B
ENSP00000304553,MPLKIP
ENSP00000304586,ANKS3
ENSP00000304592,FASN
ENSP00000304604,MAGI3
